Date,strategy_return,gross_strategy_return,exposure,turnover,equity,gross_equity,drawdown,strategy_key,model_key,split,threshold
2020-02-05,0.003203571381961586,0.0032369047152949193,0.6666666666666666,0.3333333333333333,1.0094904163534983,1.0097599738704863,-0.010876684586358043,positive_20d_momentum,positive_20d_momentum,validation,
2020-02-06,-0.007425948013609077,-0.007392614680275744,1.0,0.3333333333333333,1.0019939930014208,1.0022952074640965,-0.018221862905668296,positive_20d_momentum,positive_20d_momentum,validation,
2020-02-07,0.007032117162411329,0.007032117162411329,1.0,0.0,1.009040132156239,1.0093434647943074,-0.011317884018127167,positive_20d_momentum,positive_20d_momentum,validation,
2020-02-10,0.0003264409174810893,0.00035977425081442266,0.6666666666666666,0.3333333333333333,1.0093695241427552,1.009706600583168,-0.010995137721089066,positive_20d_momentum,positive_20d_momentum,validation,
2020-02-11,0.008074193819661712,0.008107527152995045,1.0,0.3333333333333333,1.0175193693163436,1.0178928242639544,-0.0030097207744611554,positive_20d_momentum,positive_20d_momentum,validation,
2020-02-12,-0.002820518592606939,-0.002820518592606939,1.0,0.0,1.014649437016849,1.015021838627837,-0.0058217503936652815,positive_20d_momentum,positive_20d_momentum,validation,
2020-02-13,0.00033330406088930936,0.00033330406088930936,1.0,0.0,1.0149876237945858,1.015360149528543,-0.005490386745823694,positive_20d_momentum,positive_20d_momentum,validation,
2020-02-14,-0.0032060399230416925,-0.0032060399230416925,1.0,0.0,1.011733532951307,1.012104864352889,-0.008678824269765406,positive_20d_momentum,positive_20d_momentum,validation,
2020-02-18,0.004179542031681912,0.004212875365015245,0.6666666666666666,0.3333333333333333,1.015962115777139,1.0163687360027334,-0.004535555748904629,positive_20d_momentum,positive_20d_momentum,validation,
2020-02-19,-0.002281433093142182,-0.002248099759808849,0.3333333333333333,0.3333333333333333,1.0136442661848262,1.0140838376914483,-0.006806641275065584,positive_20d_momentum,positive_20d_momentum,validation,
2020-02-20,-0.008590504389075238,-0.008557171055741905,0.6666666666666666,0.3333333333333333,1.0049365506672043,1.0054061488274593,-0.015338673182392681,positive_20d_momentum,positive_20d_momentum,validation,
2020-02-21,-0.024228001416785494,-0.024228001416785494,0.6666666666666666,0.0,0.9805889464938597,0.9810471672292227,-0.03919504920358363,positive_20d_momentum,positive_20d_momentum,validation,
2020-02-24,-0.009275361916494588,-0.009242028583161255,0.3333333333333333,0.3333333333333333,0.9714936291238151,0.9719803012682608,-0.04810686285338006,positive_20d_momentum,positive_20d_momentum,validation,
2020-02-25,-3.3333333333333335e-05,0.0,0.0,0.3333333333333333,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-02-26,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-02-27,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-02-28,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-02,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-03,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-04,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-05,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-06,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-09,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-10,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-11,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-12,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-13,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-16,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-17,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-18,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-19,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
2020-03-20,0.0,0.0,0.0,0.0,0.9714612460028443,0.9719803012682608,-0.04813859262461828,positive_20d_momentum,positive_20d_momentum,validation,
